tag,stem.tag,sp,quadrat,status.initial,status.2016,dbh
71219,71219,pinust,714,A,A,67.7
71220,71220,tsugca,714,A,D,16.4
71221,71221,tsugca,714,A,A,38.3
71222,71222,tsugca,714,A,D,6.2
71223,71223,tsugca,714,A,A,33.1
71224,71224,tsugca,714,A,A,4.5
71225,71225,tsugca,714,D,D,15.7
71226,71226,tsugca,714,A,A,34.5
71227,71227,tsugca,714,D,D,7.2
71228,71228,tsugca,714,A,A,34.2
71229,71229,tsugca,714,D,D,11.6
71230,71230,acerru,714,A,A,23.6
71231,71231,tsugca,714,D,D,23.7
71232,71232,acerru,714,A,A,24.1
71233,71233,tsugca,714,D,D,21.8
71234,71234,tsugca,714,A,A,20.7
71235,71235,tsugca,714,A,D,38.9
71236,71236,tsugca,714,A,A,1.4
71237,71237,tsugca,714,A,A,1
71238,71238,tsugca,714,A,A,1.4
71239,71239,tsugca,714,A,A,1.7
71240,71240,tsugca,714,A,A,2
71241,71241,tsugca,714,A,D,22.6
71242,71242,tsugca,714,D,D,10.8
71243,71243,tsugca,714,A,A,59.4
71244,71244,tsugca,714,A,A,1.3
71245,71245,tsugca,714,A,A,42.1
71246,71246,tsugca,714,A,A,41
71247,71247,tsugca,714,A,A,36
71248,71248,tsugca,714,A,A,36.8
71249,71249,tsugca,714,D,D,9.2
71250,71250,tsugca,714,A,D,4
71251,71251,tsugca,715,A,A,3.3
71252,71252,tsugca,715,D,D,7.8
71253,71253,tsugca,715,A,A,3.5
71254,71254,tsugca,715,A,A,1.9
71255,71255,tsugca,715,A,A,2.1
71256,71256,tsugca,715,D,D,23.2
71257,71257,tsugca,715,A,A,4.2
71258,71258,tsugca,715,A,A,1.2
71259,71259,tsugca,715,A,A,1.8
71260,71260,tsugca,715,A,A,2.1
71261,71261,tsugca,715,A,A,2.2
71262,71262,tsugca,715,A,A,31.4
71263,71263,tsugca,715,A,A,3.2
71264,71264,tsugca,715,A,A,58.5
71264,71265,tsugca,715,A,D,17.9
71266,71266,tsugca,715,D,D,7.8
71267,71267,tsugca,715,D,D,7.3
71268,71268,tsugca,715,A,A,1.6
71269,71269,tsugca,715,D,D,45.8
71270,71270,tsugca,715,A,A,3.6
71271,71271,acerru,715,A,A,25.5
71272,71272,tsugca,715,A,A,4.2
71273,71273,kalmla,715,A,A,1
71274,71274,vibual,715,A,A,1.1
71275,71275,tsugca,715,A,A,44.7
71276,71276,tsugca,715,A,A,15.8
